Event Name,Start Date,End Date,Location,City,Country,Continent,Type,Category,Attendance (Expected),Short Description,Website,Twitter,Telegram,Discord,Farcaster
Solana Accelerate APAC at Consensus,2026-02-11,2026-02-11,Hong Kong,Hong Kong,Hong Kong SAR,Asia,Conference,Solana,3000-5000,Solana Foundation event during Consensus Hong Kong bringing founders institutions policymakers and innovators to amplify APAC momentum and showcase internet capital markets,https://solana.com/events,https://x.com/SolanaConf,,,
BUIDL Europe,2026-01-07,2026-01-08,Lisbon,Lisbon,Portugal,Europe,Conference,Ethereum,500-800,Builder-focused technical conference with workshops on smart contracts Layer-2 security and zero-knowledge cryptography,https://www.buidleurope.com/,https://x.com/ekang426,,,
ETHGlobal Happy Hour Lisbon,2026-01-06,2026-01-06,Lisbon,Lisbon,Portugal,Europe,Meetup,Ethereum,200-300,Casual networking event for ETHGlobal community in Lisbon,https://luma.com/event/evt-ahOKSViGTCFVHs4,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
HackMoney 2026,2026-01-30,2026-02-11,Online,Online,Online,Global,Hackathon,Ethereum DeFi,5000+,The largest DeFi hackathon with async virtual format,https://ethglobal.com/events/hackmoney2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
AAAI-26 (Association for Advancement of AI),2026-01-20,2026-01-27,TBD,TBD,TBD,TBD,Conference,AI Research,2000+,Premier AI research conference with paper sessions keynotes exhibits workshops,https://aaai.org,,,https://discord.com/invite/aaai,
NVIDIA GTC 2026,2026-03-16,2026-03-19,San Jose,San Jose,USA,North America,Conference,AI,25000+,Premier global AI conference for developers researchers and business leaders on physical AI AI factories agentic AI,https://www.nvidia.com/gtc/,https://x.com/nvidia,,,
DeveloperWeek 2026 Hackathon,2026-02-02,2026-02-20,Santa Clara,Santa Clara,USA,North America,Hackathon,Developer,800+,Nations largest challenge-driven hackathon with thousands in cash products and prizes,https://www.developerweek.com/hackathon/,,,https://www.eventbrite.com,
Digital Assets Forum,2026-02-05,2026-02-06,London,London,United Kingdom,Europe,Conference,Institutional,1500+,Institutional conference focused on tokenization and digital assets,https://eblockchainconvention.com/digital-assets-forum/,https://twitter.com/EBlockchainCon,https://t.me/EuropeanBlockchainConvention/1,,
Consensus Hong Kong 2026,2026-02-10,2026-02-12,Hong Kong,Hong Kong,Hong Kong SAR,Asia,Conference + Hackathon,Institutional Blockchain,15000+,Asias leading Web3 conference with 15000+ attendees 500+ speakers including Consensus Hackathon and PitchFest,https://consensus-hongkong.coindesk.com/,https://x.com/consensus_hk,https://t.me/consensusbycoindesk,,
ETHDenver,2026-02-17,2026-02-21,Denver,Denver,USA,North America,Conference + Hackathon,Ethereum,25000+,Worlds largest Ethereum BUIDLathon with 25000+ innovators from 125+ countries,https://ethdenver.com/,https://x.com/ethereumdenver,https://t.me/Ethdenver,,
ETHGlobal Happy Hour Denver,2026-02-19,2026-02-19,Denver,Denver,USA,North America,Meetup,Ethereum,300-500,Casual networking event for ETHGlobal community,https://lu.ma/event/evt-Ksn9hJbXkw6KP2u,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
AI Blockchain & Cybersecurity Conference 2026,2026-03-23,2026-03-25,Tokyo,Tokyo,Japan,Asia,Conference,AI Blockchain,2000+,Conference on convergence of AI blockchain and cybersecurity. Theme: Converging Frontiers in Tokyo,https://wisdomconferences.com,,,https://discord.com,
Aleph March 26,2026-03-09,2026-03-27,Buenos Aires,Buenos Aires,Argentina,South America,Popup Village/City,Ethereum,3000+,6-week Buildathon Season with Startup World Cup and hackathon competitions,https://aleph.crecimiento.build/,https://x.com/crecimientoar,https://t.me/+sXWv0kpT7qo4ZTdk,,
ETHMumbai,2026-03-12,2026-03-15,Mumbai,Mumbai,India,Asia,Conference + Hackathon,Ethereum,2000+,Best conference & hackathon combining learning and hands-on building,https://www.ethmumbai.in/,https://x.com/ethmumbai,https://t.me/ethmumbai,,
Crypto Assets Conference,2026-03-25,2026-03-25,Frankfurt,Frankfurt,Germany,Europe,Conference,Institutional,1500+,Institutional conference on tokenization and digital assets regulation (MiCA),https://crypto-assets-conference.de/,,,
IEEE CAI 2026 (Conference on AI),2026-05-08,2026-05-10,Granada,Spain,Europe,Conference,AI Research,1500+,Premier international conference on AI applications in healthcare transportation robotics computer vision security and ethics,https://www.ieee-cai.org,,,https://discord.com,
Digital Euro Conference 2026,2026-03-26,2026-03-26,Frankfurt,Frankfurt,Germany,Europe,Conference,Institutional RWA,1000+,Focus on CBDCs stablecoins and future of digital money,https://digital-euro-conference.de/,https://x.com/DigiEuro,,,
ETHCC,2026-03-30,2026-04-02,Cannes,Cannes,France,Europe,Conference,Ethereum,6500+,Europes largest annual Ethereum event with 400+ speakers at Palais des Festivals,https://ethcc.io/,https://x.com/EthCC,https://t.me/ethccweek,,
Pragma Cannes 2026,2026-04-02,2026-04-02,Cannes,Cannes,France,Europe,Conference,Ethereum,1000+,One-day ETHGlobal summit for builders and founders on technical and product innovation,https://ethglobal.com/events/pragma-cannes2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ETHGlobal Cannes,2026-04-03,2026-04-05,Cannes,Cannes,France,Europe,Hackathon,Ethereum,800+,36-hour IRL hackathon with 29+ workshops on DeFi and Web3 technologies,https://ethglobal.com/events/cannes2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
Consensus Miami 2026,2026-05-05,2026-05-07,Miami,Miami,USA,North America,Conference + Hackathon,Institutional Blockchain,20000+,Largest crypto conference in the Americas with Consensus Hackathon and PitchFest,https://consensus.coindesk.com,https://x.com/consensus_events,,,
ZuKas,2026-04-10,2026-05-10,Kaş,Kaş,Turkey,Europe,Popup Village/City,Web3,2000+,Month-long Web3 festival and popup village in scenic Turkish coastal town,https://www.zukas.city/,https://x.com/zuzalukas,https://t.me/zuzalukas,,
Ethereum Zurich,2026-04-10,2026-04-12,Zürich,Zürich,Switzerland,Europe,Conference,Ethereum,1000+,Learning-focused Ethereum event for beginners and builders,https://ethereumzuri.ch/,https://x.com/EthereumZurich,https://t.me/ethereumzurich,,
ZuAfrique,2026-04-12,2026-05-03,Kilifi,Kilifi,Kenya,Africa,Popup Village/City,Web3,1000+,Africas largest crypto and blockchain event with 1000+ attendees,https://zuafrique.com/,https://x.com/zuafrique,,,
Paris Blockchain Week,2026-04-15,2026-04-16,Paris,Paris,France,Europe,Conference,Ethereum,10000+,Europes largest blockchain convergence with 10000+ industry leaders,https://www.parisblockchainweek.com/,https://x.com/ParisBlockWeek,https://t.me/pbwsummit,,
Istanbul Blockchain Week,2026-06-02,2026-06-03,Istanbul,Istanbul,Turkey,Europe,Conference,Blockchain,3000+,Istanbul blockchain week conference,https://istanbulblockchainweek.com,,,
muHangZhou,2026-04-26,2026-05-23,Hangzhou,Hangzhou,China,Asia,Popup Village/City,Web3,2000+,Month-long Web3 festival and popup community gathering,https://the-mu.xyz/,https://x.com/themu_xyz,,,
Token 2049 Dubai,2026-04-29,2026-04-30,Dubai,Dubai,UAE,Asia,Conference,Institutional Blockchain,15000+,Global crypto ecosystem summit with 15000+ attendees from 4000+ companies and 160+ countries,https://www.token2049.com/dubai,https://x.com/token2049,https://t.me/token2049official,,
ETHPrague,2026-05-08,2026-05-10,Prague,Prague,Czech Republic,Europe,Conference + Hackathon,Ethereum,3000+,5-year anniversary builders summit combining conference and hackathon,https://www.ethprague.org/,https://x.com/EthPrague,https://t.me/ethprague,,https://farcaster.xyz/ethprague
ETHCluj,2026-05-13,2026-05-14,Cluj-Napoca,Cluj-Napoca,Romania,Europe,Conference,Ethereum,1000+,Regional Ethereum conference celebrating local blockchain community,https://www.ethcluj.org/,https://x.com/ETHCluj,https://t.me/ethcluj,,
ETHConf,2026-06-08,2026-06-10,New York City,New York City,USA,North America,Conference,Ethereum,5000+,Ethereums major conference with 5000+ attendees 200+ speakers and 100+ exhibitors,https://ethconf.com/,https://x.com/ethereumconf,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
Pragma New York 2026,2026-06-11,2026-06-11,New York City,New York City,USA,North America,Conference,Ethereum,1000+,One-day ETHGlobal summit preceding New York hackathon,https://ethglobal.com/events/pragma-newyork2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ETHGlobal New York 2026,2026-06-12,2026-06-14,New York City,New York City,USA,North America,Hackathon,Ethereum,800+,36-hour IRL hackathon with 800+ expected attendees and 29+ workshops,https://ethglobal.com/events/newyork2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
DappCon Berlin,2026-06-16,2026-06-17,Berlin,Berlin,Germany,Europe,Conference,dApp Ethereum,1500+,Conference focused on decentralized applications at Radialsystem,https://www.dappcon.io/,https://x.com/dappconberlin,https://t.me/+ZYUWnz0kxWo4NTMy,,https://farcaster.xyz/~/channel/dappconberlin
WebX 2026,2026-07-13,2026-07-14,Tokyo,Tokyo,Japan,Asia,Conference,Web3,5000+,Asias largest global Web3 conference on blockchain crypto assets and Web3 technologies,https://webx-asia.com,https://x.com/webx_asia,,,
